Time_Step,Adj Close,Close,High,Low,Open,Volume,Day_of_Week,Month,MA_30,Target_Close,Price_Movement
140,16.51533317565918,16.51533317565918,16.573333740234375,16.333999633789062,16.358667373657227,33346500.0,5,5,15.763955529530843,16.51533317565918,0.0
141,16.51533317565918,16.51533317565918,16.573333740234375,16.333999633789062,16.358667373657227,33346500.0,6,5,15.829066626230876,16.51533317565918,0.0
142,16.51533317565918,16.51533317565918,16.573333740234375,16.333999633789062,16.358667373657227,33346500.0,0,5,15.894177722930909,16.497333526611328,-0.017999649047851562
143,16.497333526611328,16.497333526611328,16.799999237060547,16.433332443237305,16.511999130249023,52480500.0,1,5,15.958688831329345,16.495332717895508,-0.0020008087158203125
144,16.495332717895508,16.495332717895508,16.633333206176758,16.3700008392334,16.567333221435547,51123000.0,2,5,15.99397767384847,16.76333236694336,0.26799964904785156
145,16.76333236694336,16.76333236694336,16.786666870117188,16.336666107177734,16.468666076660156,54709500.0,3,5,16.04057766596476,16.719999313354492,-0.04333305358886719
146,16.719999313354492,16.719999313354492,16.857999801635742,16.6286678314209,16.733333587646484,56839500.0,4,5,16.081355412801106,16.719999313354492,0.0
147,16.719999313354492,16.719999313354492,16.857999801635742,16.6286678314209,16.733333587646484,56839500.0,5,5,16.13635540008545,16.719999313354492,0.0
148,16.719999313354492,16.719999313354492,16.857999801635742,16.6286678314209,16.733333587646484,56839500.0,6,5,16.191399796803793,16.6299991607666,-0.09000015258789062
149,16.6299991607666,16.6299991607666,16.773332595825195,16.49799919128418,16.76066780090332,37576500.0,0,6,16.243444188435873,16.55666732788086,-0.07333183288574219
150,16.55666732788086,16.55666732788086,16.626667022705078,16.420000076293945,16.594667434692383,32022000.0,1,6,16.29304418563843,16.599332809448242,0.04266548156738281
151,16.599332809448242,16.599332809448242,16.71466636657715,16.46733283996582,16.546667098999023,26722500.0,2,6,16.334110832214357,16.39466667175293,-0.2046661376953125
152,16.39466667175293,16.39466667175293,16.6200008392334,16.380666732788086,16.5,36804000.0,3,6,16.36293306350708,16.609333038330078,0.21466636657714844
153,16.609333038330078,16.609333038330078,16.64666748046875,16.3786678314209,16.399999618530273,45330000.0,4,6,16.404510815938313,16.609333038330078,0.0
154,16.609333038330078,16.609333038330078,16.64666748046875,16.3786678314209,16.399999618530273,45330000.0,5,6,16.43193302154541,16.609333038330078,0.0
155,16.609333038330078,16.609333038330078,16.64666748046875,16.3786678314209,16.399999618530273,45330000.0,6,6,16.459777450561525,17.086000442504883,0.4766674041748047
156,17.086000442504883,17.086000442504883,17.25,16.687332153320312,16.72333335876465,75255000.0,0,6,16.50351079305013,17.066667556762695,-0.0193328857421875
157,17.066667556762695,17.066667556762695,17.182666778564453,16.94266700744629,17.02666664123535,39166500.0,1,6,16.546599706013996,16.713333129882812,-0.3533344268798828
158,16.713333129882812,16.713333129882812,16.933332443237305,16.566667556762695,16.793333053588867,51817500.0,2,6,16.57151082356771,16.76066780090332,0.04733467102050781
159,16.76066780090332,16.76066780090332,16.95800018310547,16.69533348083496,16.884000778198242,30661500.0,3,6,16.586333084106446,16.71266746520996,-0.048000335693359375
160,16.71266746520996,16.71266746520996,16.8973331451416,16.680667877197266,16.680667877197266,21334500.0,4,6,16.603022003173827,16.71266746520996,0.0
161,16.71266746520996,16.71266746520996,16.8973331451416,16.680667877197266,16.680667877197266,21334500.0,5,6,16.617666498819986,16.71266746520996,0.0
162,16.71266746520996,16.71266746520996,16.8973331451416,16.680667877197266,16.680667877197266,21334500.0,6,6,16.62177766164144,16.691999435424805,-0.02066802978515625
163,16.691999435424805,16.691999435424805,16.75200080871582,16.400667190551758,16.64666748046875,32793000.0,0,6,16.62519989013672,16.874666213989258,0.18266677856445312
164,16.874666213989258,16.874666213989258,16.895999908447266,16.606666564941406,16.67533302307129,29770500.0,1,6,16.634711011250815,17.360666275024414,0.48600006103515625
165,17.360666275024414,17.360666275024414,17.624000549316406,16.801332473754883,16.81133270263672,82693500.0,2,6,16.66062215169271,17.459333419799805,0.09866714477539062
166,17.459333419799805,17.459333419799805,17.56399917602539,17.334667205810547,17.46666717529297,41740500.0,3,6,16.693399937947593,17.500667572021484,0.04133415222167969
167,17.500667572021484,17.500667572021484,17.586666107177734,17.34000015258789,17.49333381652832,36945000.0,4,6,16.73375549316406,17.500667572021484,0.0
168,17.500667572021484,17.500667572021484,17.586666107177734,17.34000015258789,17.49333381652832,36945000.0,5,6,16.771288871765137,17.500667572021484,0.0
169,17.500667572021484,17.500667572021484,17.586666107177734,17.34000015258789,17.49333381652832,36945000.0,6,6,16.80413335164388,17.319332122802734,-0.18133544921875
170,17.319332122802734,17.319332122802734,17.626667022705078,17.04599952697754,17.476667404174805,68416500.0,0,6,16.830933316548666,17.844667434692383,0.5253353118896484
171,17.844667434692383,17.844667434692383,17.866666793823242,17.238000869750977,17.35466766357422,58062000.0,1,6,16.875244458516438,17.67799949645996,-0.16666793823242188
172,17.67799949645996,17.67799949645996,17.823333740234375,17.58133316040039,17.798667907714844,36184500.0,2,6,16.91400000254313,17.91933250427246,0.2413330078125
173,17.91933250427246,17.91933250427246,18.0939998626709,17.683332443237305,17.76333236694336,42738000.0,3,6,16.96139996846517,17.805999755859375,-0.11333274841308594
174,17.805999755859375,17.805999755859375,17.94066619873047,17.733333587646484,17.926000595092773,57576000.0,4,6,17.00508886973063,17.805999755859375,0.0
175,17.805999755859375,17.805999755859375,17.94066619873047,17.733333587646484,17.926000595092773,57576000.0,5,6,17.039844449361166,17.805999755859375,0.0
176,17.805999755859375,17.805999755859375,17.94066619873047,17.733333587646484,17.926000595092773,57576000.0,6,6,17.076044464111327,17.468000411987305,-0.3379993438720703
177,17.468000411987305,17.468000411987305,17.729999542236328,17.3799991607666,17.463333129882812,52183500.0,0,6,17.100977834065755,17.884000778198242,0.4160003662109375
178,17.884000778198242,17.884000778198242,18.06133270263672,17.600000381469727,17.65333366394043,46303500.0,1,6,17.13977788289388,17.94333267211914,0.05933189392089844
179,17.94333267211914,17.94333267211914,18.174667358398438,17.856666564941406,18.073999404907227,31518000.0,2,7,17.18355566660563,18.667999267578125,0.7246665954589844
180,18.667999267578125,18.667999267578125,18.829999923706055,18.220666885375977,18.68000030517578,107458500.0,3,7,17.253933397928872,18.667999267578125,0.0
181,18.667999267578125,18.667999267578125,18.829999923706055,18.220666885375977,18.68000030517578,107458500.0,4,7,17.322888946533205,18.667999267578125,0.0
182,18.667999267578125,18.667999267578125,18.829999923706055,18.220666885375977,18.68000030517578,107458500.0,5,7,17.398666699727375,18.667999267578125,0.0
